"Games_Played","Games_Started","Goals","Assists","SHOTS","SHOTS_ON_TARGET","Game_Winning_Goals","HmG","RdG","G_90min","Games_Winning_Assists","OFF","Shots_on_Goals_Percent","Target"
0.939393939393939,0.852941176470588,0.0882352941176471,0.192307692307692,0.194444444444444,0.105263157894737,0,0.0454545454545455,0.125,0.00222222222222222,0.25,0.0365853658536585,0.2222,1
0.151515151515152,0.147058823529412,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0
0.515151515151515,0.5,0,0.0384615384615385,0.0166666666666667,0.0394736842105263,0,0,0,0,0,0.0121951219512195,0.75,1
0.727272727272727,0.470588235294118,0.0294117647058824,0.192307692307692,0.0888888888888889,0.0921052631578947,0.0909090909090909,0,0.0625,0.00133333333333333,0.25,0.024390243902439,0.4118,1
0.727272727272727,0.558823529411765,0.0294117647058824,0.269230769230769,0.144444444444444,0.157894736842105,0,0,0.0625,0.00111111111111111,0.125,0.0609756097560976,0.4444,1
0.636363636363636,0.558823529411765,0.235294117647059,0.115384615384615,0.316666666666667,0.263157894736842,0.181818181818182,0.181818181818182,0.25,0.00911111111111111,0.25,0.0609756097560976,0.3448,1
0.727272727272727,0.705882352941177,0,0.0384615384615385,0.0444444444444444,0.0394736842105263,0,0,0,0,0.125,0,0.3333,1
0.242424242424242,0,0,0,0.0222222222222222,0.0526315789473684,0,0,0,0,0,0.024390243902439,0.8,0
0.454545454545455,0.411764705882353,0,0,0.00555555555555556,0.0263157894736842,0,0,0,0,0,0,1,1
0.0909090909090909,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.0882352941176471,0.192307692307692,0.305555555555556,0.171052631578947,0.0909090909090909,0.0909090909090909,0.0625,0.002,0.125,0.0487804878048781,0.2321,1
0.909090909090909,0.882352941176471,0.0294117647058824,0.192307692307692,0.122222222222222,0.0526315789473684,0.0909090909090909,0.0454545454545455,0,0.000666666666666667,0.25,0.0609756097560976,0.1739,1
0.424242424242424,0.441176470588235,0,0,0,0,0,0,0,0,0,0,0,1
0.303030303030303,0.205882352941176,0,0,0.0388888888888889,0.0657894736842105,0,0,0,0,0,0,0.625,0
0.0303030303030303,0.0588235294117647,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0
0.151515151515152,0.176470588235294,0.117647058823529,0.0384615384615385,0.0833333333333333,0.0921052631578947,0.0909090909090909,0.136363636363636,0.0625,0.0177777777777778,0,0,0.4375,0
0.515151515151515,0.264705882352941,0.0294117647058824,0,0.0722222222222222,0.0789473684210526,0.0909090909090909,0,0.0625,0.002,0,0.0731707317073171,0.4286,0
0.787878787878788,0.764705882352941,0.0294117647058824,0.0384615384615385,0.0611111111111111,0.0657894736842105,0,0,0.0625,0.000888888888888889,0,0.024390243902439,0.4167,1
0.0909090909090909,0.117647058823529,0,0.153846153846154,0.05,0.0263157894736842,0,0,0,0,0,0,0.2,0
0.484848484848485,0.205882352941176,0.0294117647058824,0,0.0555555555555556,0.0921052631578947,0,0,0.0625,0.00244444444444444,0,0.024390243902439,0.6364,0
0.272727272727273,0.264705882352941,0.0294117647058824,0,0.0444444444444444,0.0263157894736842,0.0909090909090909,0.0454545454545455,0,0.00244444444444444,0,0,0.2222,0
0.818181818181818,0.823529411764706,0,0.153846153846154,0.00555555555555556,0,0,0,0,0,0.25,0,0,1
0.636363636363636,0.323529411764706,0.0882352941176471,0.115384615384615,0.177777777777778,0.105263157894737,0,0,0.1875,0.00577777777777778,0.125,0.0487804878048781,0.2424,0
0.0303030303030303,0.0588235294117647,0.0588235294117647,0.0384615384615385,0.0277777777777778,0.0394736842105263,0.0909090909090909,0.0454545454545455,0.0625,0.0282222222222222,0,0.0121951219512195,0.5,0
